Session 1,YiYang Jiang,ON13537,Fong-Ming Chow,BC16012
Session 2,Ziyi Yang Jackson,BC10895,Adrian KH Wong,BC12183
Session 2,Saurabh Pandiar,BC17070,Jalil Waiz,BC7562
Session 2,Manmeet Singh,BC16926,Paul Cho,BC3748
Session 2,Connor Nicholas Louie,BC10576,Nelson Oi Sang Chan,BC16318
Session 2,YiYang Jiang,ON13537,Nicholas Lee,SK01305
Session 2,Kevin Luo,BC8266,Lai Yin Chung,BC17060
Session 2,Mahdi Ahmadi,BC15814,Jack Chen,BC10265
Session 2,Joshua Liu,BC1815,Ratnesh Rao Ippili,BC17071
Quarterfinals,Ziyi Yang Jackson,BC10895,Saurabh Pandiar,BC17070
Quarterfinals,Connor Nicholas Louie,BC10576,Manmeet Singh,BC16926
Quarterfinals,Kevin Luo,BC8266,YiYang Jiang,ON13537
Quarterfinals,Joshua Liu,BC1815,Mahdi Ahmadi,BC15814
Semifinals,Ziyi Yang Jackson,BC10895,Connor Nicholas Louie,BC10576
Semifinals,Joshua Liu,BC1815,Kevin Luo,BC8266
Finals,Ziyi Yang Jackson,BC10895,Joshua Liu,BC1815
Play-off 3/4,Kevin Luo,BC8266,Connor Nicholas Louie,BC10576