Round of 64,Johnathan Akin-Mulrooney,AB04770,Rickey Ruixi Zhang,BC14918
Round of 64,Saurabh Pandiar,BC17070,Chris Wiebe,MB1371
Round of 64,Paul James Ouano,AB20978,Louis Lecheng Sun,ON24495
Round of 64,Connor Louie,BC10576,Andrew Shan,AB21085
Round of 64,Victor Ho,MB09472,Jalil Waiz,BC7562
Round of 64,Peike Xu,BC15886,Ethan Chen,AB06938
Round of 64,Antonio Li,BC7414,Jonathan Su,AB22169
Round of 64,Manmeet Singh,BC16926,Alexander Gibson-Dunne,AB21292
Round of 64,Lai Yin Chung,BC17060,Benoit Bordeleau,QC10071
Round of 64,Youwei Zhang,BC15945,Kevin Shan,AB21077
Round of 64,Kyi Nichols,MB0064,Jason Chou,AB04324
Round of 64,Nik Cruz,BC3960,Dale Kinley,MB0044
Round of 64,Daniel Jieru Zhou,AB21350,Archangelo Ouano,AB21252
Round of 64,Yiyang Jiang,ON13537,Saket Thavanani,ON34056
Round of 64,Kiren Deraj,MB1631,Ryan Liu,BC10841
Round of 64,Anthony Wong,AB09514,Shourya Joshi,BC17705
Round of 64,Nathan Appave,AB20369,Colin Jia,ON11660
Round of 64,Zachary Desjardins,QC11074,Ashish Pandit,AB22061
Round of 64,Ethan Yen,BC14739,Ao Jun Chan,MB12428
Round of 32,Victor Lai,ON13010,Johnathan Akin-Mulrooney,AB04770
Round of 32,Saurabh Pandiar,BC17070,Matthew Yeung,AB21648
Round of 32,Lyem Fedoretz,BC13763,Paul James Ouano,AB20978
Round of 32,Victor Ho,MB09472,Connor Louie,BC10576
Round of 32,Imran Wadia,AB07299,Shubh Krishan,ON34764
Round of 32,Peike Xu,BC15886,Brandon Yim,MB08946
Round of 32,Antonio Li,BC7414,Jackson Yang,BC10895
Round of 32,Lai Yin Chung,BC17060,Manmeet Singh,BC16926
Round of 32,Youwei Zhang,BC15945,Justin Nguyen,AB22188
Round of 32,Gurbaksh Saini,ON41508,Kyi Nichols,MB0064
Round of 32,Daniel Jieru Zhou,AB21350,Nik Cruz,BC3960
Round of 32,Miklos Kanyasi,NS1999456,Yiyang Jiang,ON13537
Round of 32,Anthony Wong,AB09514,Kiren Deraj,MB1631
Round of 32,William Ma,BC15972,Nathan Appave,AB20369
Round of 32,Zachary Desjardins,QC11074,Mahdi Ahmadi,BC15814
Round of 32,Joshua Nguyen,ON13127,Ethan Yen,BC14739
Round of 16,Victor Lai,ON13010,Saurabh Pandiar,BC17070
Round of 16,Lyem Fedoretz,BC13763,Victor Ho,MB09472
Round of 16,Imran Wadia,AB07299,Peike Xu,BC15886
Round of 16,Antonio Li,BC7414,Lai Yin Chung,BC17060
Round of 16,Gurbaksh Saini,ON41508,Youwei Zhang,BC15945
Round of 16,Daniel Jieru Zhou,AB21350,Miklos Kanyasi,NS1999456
Round of 16,Anthony Wong,AB09514,William Ma,BC15972
Round of 16,Joshua Nguyen,ON13127,Zachary Desjardins,QC11074
Quarterfinals,Victor Lai,ON13010,Lyem Fedoretz,BC13763
Quarterfinals,Imran Wadia,AB07299,Antonio Li,BC7414
Quarterfinals,Gurbaksh Saini,ON41508,Daniel Jieru Zhou,AB21350
Quarterfinals,Joshua Nguyen,ON13127,Anthony Wong,AB09514
Semifinals,Victor Lai,ON13010,Imran Wadia,AB07299
Semifinals,Joshua Nguyen,ON13127,Gurbaksh Saini,ON41508
Finals,Joshua Nguyen,ON13127,Victor Lai,ON13010