Session 1,Renjie Xiong,BC18391,Justin Phuong,BC11051
Session 1,Andrew Meijer,BC6030,Aakar Chatha,BC17063
Session 1,Colt Love,BC12636,Shen Wei Lai,BC8302
Session 1,Uday pratap Bharti,BC15951,Nicholas Poon,BC14114
Session 1,Brandon Robert Myrbo,BC16273,Yigit Kirsan,BC19455
Quarterfinals,Jalil Waiz,BC7562,Renjie Xiong,BC18391
Quarterfinals,Robert Zhongjia Shi,BC13617,Andrew Meijer,BC6030
Quarterfinals,Uday pratap Bharti,BC15951,Colt Love,BC12636
Quarterfinals,Connor Nicholas Louie,BC10576,Brandon Robert Myrbo,BC16273
Semifinals,Jalil Waiz,BC7562,Robert Zhongjia Shi,BC13617
Semifinals,Connor Nicholas Louie,BC10576,Uday pratap Bharti,BC15951
Finals,Connor Nicholas Louie,BC10576,Jalil Waiz,BC7562
Play-off 3/4,Uday pratap Bharti,BC15951,Robert Zhongjia Shi,BC13617